Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
3010000,1.3010242,181.62745098039215,124.682304,903.0269190508586,903.0269190508586,1.0
3020000,1.3009715,186.41509433962264,119.70359,877.4320760493008,877.4320760493008,1.0
3030000,1.3007277,185.01754385964912,118.146706,904.1089283909116,904.1089283909116,1.0
3040000,1.3006068,188.27083333333334,116.35912,943.0448999521988,943.0448999521988,1.0
3050000,1.2996883,198.78846153846155,120.76998,927.8807713859356,927.8807713859356,1.0
3060000,1.2996241,179.98039215686273,117.10245,879.5901985589196,879.5901985589196,1.0
3070000,1.2982465,222.79166666666666,115.39985,974.8750053209563,974.8750053209563,1.0
3080000,1.2982385,212.08163265306123,112.01952,898.1553154803337,898.1553154803337,1.0
3090000,1.2977287,208.65217391304347,117.892296,932.1604195286831,932.1604195286831,1.0
3100000,1.2977288,198.6078431372549,124.83511,2948.109806667648,2948.109806667648,1.0
3110000,1.2978417,195.6078431372549,120.3448,948.5607822291992,948.5607822291992,1.0
3120000,1.2978485,195.05882352941177,116.74489,877.3784293503154,877.3784293503154,1.0
3130000,1.2981539,180.11320754716982,124.521034,4672.183020888634,4672.183020888634,1.0
3140000,1.2981936,215.22,122.06527,3025.9469692767884,3025.9469692767884,1.0
3150000,1.2984539,203.3913043478261,126.99095,3160.7702778289295,3160.7702778289295,1.0
3160000,1.2984945,192.03846153846155,128.88278,2920.096156780536,2920.096156780536,1.0
3170000,1.2985363,222.3409090909091,139.11586,5633.87506979162,5633.87506979162,1.0
3180000,1.2985464,211.14583333333334,132.56236,1019.7375034491221,1019.7375034491221,1.0
3190000,1.2985537,203.8,131.30946,943.8836754259406,943.8836754259406,1.0
3200000,1.2985556,213.9787234042553,128.98326,1036.5191399410685,1036.5191399410685,1.0
